,store,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,meals,open,hoursopen,pricesoda,pricefry,priceentree,nregisters,nregisters11,time,fte,change_fte
588,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,15.0,4.0,5.05,26.0,0.25,3.0,7.0,16.0,1.01,0.92,0.94,3.0,2.0,1.0,22.5,4.25
179,13.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,4.5,7.0,0.25,2.0,11.0,10.0,1.06,0.95,2.66,5.0,4.0,0.0,12.5,
589,13.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,3.0,5.0,13.0,0.25,1.0,11.0,11.0,1.01,0.94,2.75,4.0,3.0,1.0,7.5,-5.0
507,14.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,4.0,17.0,3.0,5.05,13.0,0.25,2.0,11.0,11.0,1.05,0.94,2.6,6.0,3.0,1.0,12.5,-1.5
97,14.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,5.12,6.0,0.25,3.0,11.0,11.0,1.06,0.85,2.49,6.0,5.0,0.0,14.0,
180,15.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,4.0,4.6,9.0,0.15,2.0,6.0,17.0,1.02,0.98,0.95,5.0,4.0,0.0,15.5,
590,15.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,3.0,5.05,,0.25,2.0,6.0,17.0,1.05,1.01,2.0,3.0,3.0,1.0,15.0,-0.5
181,16.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,4.0,4.5,13.0,0.25,2.0,6.0,17.0,1.0,1.0,,5.0,5.0,0.0,17.0,
591,16.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,7.0,17.0,3.0,5.05,19.0,0.25,2.0,6.0,17.0,1.05,1.01,0.94,5.0,5.0,1.0,15.5,-1.5
182,17.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,4.37,13.0,0.25,2.0,6.0,17.0,1.06,1.0,2.02,6.0,5.0,0.0,10.0,
592,17.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,35.0,4.0,5.05,13.0,0.2,2.0,6.0,17.0,1.05,0.94,0.95,6.0,5.0,1.0,21.5,11.5
593,18.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,8.0,38.0,5.0,5.05,,0.25,2.0,6.0,17.0,1.05,1.0,0.63,7.0,7.0,1.0,27.0,-0.5
183,18.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,25.0,3.0,4.25,13.0,,2.0,6.0,17.0,,,,4.0,4.0,0.0,27.5,
594,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,6.0,44.0,5.0,5.05,52.0,0.3,2.0,6.0,16.0,1.04,0.93,0.95,2.0,2.0,1.0,28.0,8.5
184,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,31.0,4.0,4.25,4.0,0.25,2.0,6.0,16.0,1.05,0.91,0.93,3.0,3.0,0.0,19.5,
595,21.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,5.05,,,2.0,11.0,10.0,0.94,0.94,2.43,3.0,3.0,1.0,5.5,-5.5
185,21.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,3.0,4.45,6.0,0.1,2.0,10.5,10.5,1.06,0.8,2.13,3.0,3.0,0.0,11.0,
596,22.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,15.0,2.0,5.05,19.0,0.13,2.0,7.0,15.0,1.05,1.05,0.94,4.0,4.0,1.0,10.5,0.0
186,22.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,4.0,4.35,26.0,0.12,2.0,7.0,16.0,1.06,0.84,0.95,4.0,1.0,0.0,10.5,
187,23.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,25.0,3.0,4.5,26.0,0.12,2.0,7.0,16.0,1.06,0.95,0.95,3.0,2.0,0.0,12.5,
597,23.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,14.0,3.0,5.05,,,1.0,6.5,16.5,1.05,0.94,0.94,3.0,2.0,1.0,21.0,8.5
598,24.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,20.0,4.0,5.05,52.0,0.15,2.0,,,1.05,0.94,1.0,4.0,3.0,1.0,25.0,2.5
188,24.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,4.0,4.75,13.0,0.25,2.0,7.0,16.0,1.06,0.95,1.01,4.0,3.0,0.0,22.5,
98,26.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,30.0,15.0,4.0,5.56,6.0,,2.0,7.0,16.0,1.06,0.91,0.98,4.0,2.0,0.0,37.5,
508,26.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,20.0,4.0,5.05,,,2.0,7.0,16.0,1.01,0.94,0.94,5.0,4.0,1.0,20.0,-17.5
509,27.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,7.0,4.0,5.05,26.0,0.25,1.0,11.0,10.0,1.05,0.84,2.53,4.0,3.0,1.0,3.5,-5.5
99,27.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,4.0,5.0,,0.37,1.0,11.0,10.0,1.06,0.85,2.34,4.0,3.0,0.0,9.0,
599,28.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,2.0,3.0,,,,1.0,11.0,10.0,,1.05,2.64,3.0,2.0,1.0,7.0,0.0
189,28.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,14.0,1.0,4.5,,0.25,2.0,11.0,10.0,1.06,1.17,2.56,2.0,1.0,0.0,7.0,
190,29.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,2.0,4.5,4.0,0.25,2.0,11.0,11.0,1.06,1.01,2.56,3.0,2.0,0.0,3.5,
600,29.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,13.0,3.0,5.05,26.0,0.25,1.0,11.0,11.0,1.05,1.05,2.64,3.0,3.0,1.0,6.5,3.0
100,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,2.0,5.0,13.0,0.37,1.0,11.0,10.0,1.06,1.06,2.53,2.0,2.0,0.0,8.0,
510,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,3.0,2.0,5.05,19.0,0.25,1.0,11.0,10.0,0.94,0.92,2.69,2.0,2.0,1.0,5.5,-2.5
511,31.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,15.0,5.0,5.05,26.0,0.25,1.0,10.5,12.5,1.0,1.05,2.64,4.0,4.0,1.0,13.5,1.5
101,31.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,3.0,5.25,13.0,0.15,2.0,11.0,11.0,1.03,1.06,2.56,4.0,3.0,0.0,12.0,
191,32.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,20.5,3.0,4.5,26.0,0.25,2.0,10.5,11.5,1.12,1.02,1.06,4.0,3.0,0.0,20.25,
601,32.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,25.0,3.0,5.05,26.0,0.23,2.0,10.5,11.5,1.22,1.11,2.28,4.0,4.0,1.0,14.5,-5.75
102,33.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,20.0,4.0,5.0,26.0,0.25,2.0,6.0,17.0,1.02,1.07,0.95,5.0,4.0,0.0,22.0,
512,33.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,6.0,11.0,5.0,5.05,,0.2,2.0,6.0,17.0,1.11,1.06,1.05,4.0,2.0,1.0,11.5,-10.5
192,34.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,3.0,4.95,26.0,,2.0,10.5,11.5,1.12,1.02,1.06,5.0,3.0,0.0,12.5,
602,34.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,11.0,7.0,3.0,5.05,26.0,0.5,2.0,10.5,11.5,1.22,1.11,0.73,5.0,2.0,1.0,14.5,2.0
603,35.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,13.0,18.0,3.0,5.05,13.0,0.25,2.0,10.5,11.5,1.03,,,2.0,2.0,1.0,22.0,-6.25
193,35.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,25.0,6.5,4.0,4.5,9.0,0.25,2.0,10.5,11.5,0.96,0.95,2.13,2.0,2.0,0.0,28.25,
513,36.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,10.0,35.0,6.0,5.05,26.0,0.15,2.0,10.5,12.5,0.95,0.89,1.19,2.0,2.0,1.0,27.5,13.5
103,36.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,4.0,5.5,30.0,0.17,2.0,10.5,13.0,1.02,0.91,2.57,2.0,2.0,0.0,14.0,
27,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,21.0,9.0,7.0,4.25,4.0,0.25,2.0,6.5,16.5,0.98,0.84,0.84,5.0,3.0,0.0,25.5,
437,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,6.0,25.0,7.0,4.25,52.0,0.18,2.0,6.5,16.5,0.98,0.84,0.86,6.0,3.0,1.0,18.5,-7.0
194,38.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,5.0,4.25,17.0,0.15,2.0,6.0,17.0,1.05,0.95,0.98,3.0,2.0,0.0,25.0,
604,38.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,10.0,20.0,6.0,5.05,,0.25,3.0,6.5,17.5,0.98,0.82,0.76,3.0,2.0,1.0,20.0,-5.0
438,39.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,5.0,15.0,3.0,,,,2.0,6.5,16.5,1.05,,0.63,4.0,2.0,1.0,12.5,-4.5
28,39.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,2.0,4.25,8.0,,2.0,6.5,17.5,1.03,0.73,0.52,4.0,2.0,0.0,17.0,
439,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.0,25.0,6.0,4.25,8.0,0.13,2.0,6.5,17.5,0.98,0.82,0.87,3.0,2.0,1.0,19.5,-0.5
29,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,20.0,7.0,4.25,4.0,0.15,2.0,6.5,16.5,0.98,0.82,0.8,3.0,3.0,0.0,20.0,
440,41.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,42.0,6.0,4.25,,,2.0,6.5,17.5,0.94,0.78,0.91,3.0,2.0,1.0,21.0,7.5
30,41.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,6.0,4.25,18.0,0.2,2.0,6.5,16.5,0.98,0.82,0.85,3.0,3.0,0.0,13.5,
31,42.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,4.0,5.0,4.5,,,2.0,6.5,16.5,0.98,0.83,0.86,3.0,3.0,0.0,19.0,
441,42.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,5.0,4.25,26.0,0.25,2.0,6.5,16.5,0.94,,,3.0,2.0,1.0,11.0,-8.0
442,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,11.0,12.0,2.0,4.25,26.0,0.15,3.0,6.5,17.5,0.98,0.75,0.86,3.0,3.0,1.0,17.0,5.0
32,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,6.0,4.25,2.0,0.25,2.0,7.0,16.0,0.98,0.83,0.86,3.0,3.0,0.0,12.0,
0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,15.0,3.0,,19.0,,2.0,6.5,16.5,1.03,1.03,0.52,3.0,3.0,0.0,37.5,
410,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.5,35.0,3.0,4.3,26.0,0.08,2.0,6.5,16.5,1.03,,0.94,4.0,4.0,1.0,21.0,-16.5
33,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,25.0,15.0,,4.5,4.0,0.17,2.0,6.0,17.0,1.05,0.86,0.86,3.0,3.0,0.0,32.5,
443,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,45.0,2.0,4.25,,,2.0,6.0,18.0,1.05,0.86,0.86,3.0,,1.0,22.5,-10.0
34,48.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,20.0,3.0,4.25,13.0,0.2,3.0,7.0,14.0,1.01,0.84,0.63,4.0,3.0,0.0,16.0,
444,48.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.5,25.0,5.0,4.38,13.0,0.25,3.0,7.0,14.0,0.98,0.79,0.87,4.0,3.0,1.0,20.0,4.0
411,49.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,15.0,4.0,4.45,13.0,0.05,2.0,10.0,13.0,1.01,0.89,2.35,4.0,4.0,1.0,7.5,-2.25
1,49.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.5,6.5,4.0,,26.0,,2.0,10.0,13.0,1.01,0.9,2.35,4.0,3.0,0.0,9.75,
35,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,10.0,3.0,4.5,13.0,,2.0,10.0,12.0,1.01,0.89,3.5,4.0,3.0,0.0,11.0,
445,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,20.0,3.0,4.75,13.0,0.1,2.0,10.0,13.0,1.01,0.89,2.35,4.0,3.0,1.0,14.0,3.0
36,51.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,3.0,4.25,,0.15,2.0,10.0,13.0,1.01,0.89,2.35,4.0,3.0,0.0,7.5,
446,51.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,15.0,3.0,4.25,,,2.0,10.0,13.0,1.0,0.89,2.35,5.0,3.0,1.0,13.5,6.0
3,56.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,20.0,4.0,5.0,26.0,0.1,2.0,10.0,12.0,0.87,0.82,1.79,2.0,2.0,0.0,30.0,
413,56.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,36.0,2.0,5.25,26.0,0.15,2.0,10.0,12.0,0.92,0.79,0.87,2.0,2.0,1.0,18.0,-12.0
37,57.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,10.0,3.0,4.67,26.0,0.07,2.0,10.0,12.0,0.87,0.79,0.9,2.0,2.0,0.0,35.0,
447,57.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,18.0,4.0,4.5,26.0,0.13,2.0,10.0,12.0,1.01,0.78,0.9,2.0,2.0,1.0,16.0,-19.0
38,58.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,25.0,3.0,4.75,26.0,0.15,2.0,10.0,12.0,0.87,0.77,1.01,2.0,2.0,0.0,20.5,
448,58.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,28.0,4.0,4.5,26.0,0.08,2.0,10.0,12.0,1.04,0.84,0.94,2.0,2.0,1.0,14.0,-6.5
39,59.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,15.0,3.0,4.25,26.0,0.1,1.0,7.5,10.5,0.91,0.89,0.81,2.0,2.0,0.0,7.5,
449,59.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,4.0,4.25,26.0,0.1,1.0,7.5,10.5,1.01,0.84,0.86,2.0,2.0,1.0,8.0,0.5
40,60.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,20.0,5.0,4.25,4.0,0.1,1.0,10.5,11.5,0.94,0.74,0.86,2.0,2.0,0.0,20.0,
450,60.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,20.0,5.0,4.25,4.0,0.25,1.0,10.0,12.0,0.98,0.84,0.86,2.0,2.0,1.0,20.0,0.0
414,61.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,28.0,3.0,6.0,4.75,13.0,0.15,2.0,10.0,12.0,1.01,0.84,0.95,2.0,2.0,1.0,29.5,10.5
4,61.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,26.0,5.0,5.5,52.0,0.15,3.0,10.0,12.0,0.87,0.77,1.65,2.0,2.0,0.0,19.0,
415,62.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,26.0,,2.0,10.0,12.0,,0.84,1.79,3.0,3.0,1.0,,
5,62.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,31.0,5.0,5.0,26.0,0.07,2.0,10.0,12.0,0.87,0.77,0.95,2.0,2.0,0.0,15.5,
195,63.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,6.0,,4.25,26.0,,2.0,6.0,18.0,1.1,0.97,1.17,4.0,3.0,0.0,29.0,
605,63.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,10.0,4.0,5.05,26.0,0.1,2.0,7.0,18.0,1.11,1.01,1.09,4.0,3.0,1.0,20.0,-9.0
606,64.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,13.0,13.0,3.0,5.05,26.0,0.25,2.0,7.0,16.0,1.05,0.95,0.95,3.0,3.0,1.0,19.5,-8.0
196,64.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,15.0,3.0,4.5,26.0,0.2,3.0,7.0,16.0,1.06,0.95,0.95,3.0,2.0,0.0,27.5,
607,65.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,,3.0,5.05,,,,,,,,,,,1.0,,
197,65.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,20.0,4.0,4.8,52.0,0.25,2.0,6.5,15.5,1.06,0.85,1.11,3.0,3.0,0.0,10.0,
608,66.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,26.0,10.0,4.0,5.05,26.0,0.25,1.0,7.0,17.0,1.05,0.95,0.95,3.0,3.0,1.0,31.0,7.0
198,66.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,18.0,3.0,4.25,26.0,0.15,2.0,7.0,17.0,1.06,0.95,0.95,3.0,2.0,0.0,24.0,
609,67.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,17.5,5.0,5.05,,,1.0,8.0,13.5,1.32,1.05,1.22,3.0,3.0,1.0,12.75,0.25
199,67.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,6.0,4.5,13.0,0.25,1.0,8.0,13.5,1.17,1.06,1.17,3.0,2.0,0.0,12.5,
610,68.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,13.0,17.0,3.0,5.05,13.0,0.28,3.0,7.0,17.0,1.05,0.95,0.95,3.0,1.0,1.0,21.5,-13.5
200,68.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,10.0,3.0,4.25,14.0,0.05,3.0,7.0,17.0,1.07,1.02,1.02,3.0,3.0,0.0,35.0,
611,69.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,27.0,3.0,5.05,13.0,0.2,2.0,7.0,18.0,1.26,1.01,1.0,4.0,2.0,1.0,13.5,0.0
201,69.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,4.25,13.0,0.22,2.0,7.0,18.0,1.17,0.95,0.95,4.0,2.0,0.0,13.5,
202,70.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,5.0,4.5,13.0,0.27,1.0,7.0,16.0,1.06,0.95,1.02,3.0,3.0,0.0,45.0,
612,70.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,10.0,30.0,5.0,5.05,4.0,0.23,1.0,7.0,16.0,1.05,0.95,1.01,3.0,3.0,1.0,25.0,-20.0
203,71.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,3.0,4.75,13.0,0.25,3.0,7.0,17.0,1.06,0.95,0.95,3.0,2.0,0.0,17.5,
613,71.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,29.0,14.0,3.0,5.05,26.0,0.18,3.0,7.0,17.0,1.05,0.95,0.95,3.0,2.0,1.0,36.0,18.5
614,73.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,0.0,3.0,5.05,4.0,0.05,2.0,11.0,11.0,1.05,1.05,2.43,3.0,,1.0,14.0,10.5
